from_team_name,to_team_name,weight,transfer_fee
Barnsley,Derby,9,1130000
Barnsley,Grimsby Town,12,0
Barnsley,Hull City,9,795000
Barnsley,Luton,11,5500000
Barnsley,Rochdale,9,0
Barnsley,Stoke City,12,4450000
Barranquilla FC,Junior FC,9,0
Barrow,Southport,10,0
Barueri,Palmeiras,10,130000
Barça Atlètic,Barcelona,17,0
Bassano,LR Vicenza,11,0
Bath City,Bristol Rovers,10,0
Bath City,Exeter City,10,0
Bayern Munich,1.FC Nuremberg,10,600000
Bayonne,Genêts Anglet,15,0
Belenenses,B SAD,13,0
Belenenses,Benfica,10,1700000
Belenenses Yth,Belenenses S15,36,0
Belfort B,ASM Belfort,9,0
Belgrano,Boca Juniors,10,0
Bellaria IM,Cesena,27,500
Benevento,ASG Nocerina,10,0
Benevento,Casertana,9,0
Benevento,Catanzaro,10,600000
Benevento,Pescara,12,4000000
Benevento Yth.,Salernitana You,10,0
Benfica,Alverca,10,0
Benfica,Atlético Madrid,9,194200000
Benfica,Beira-Mar,9,0
Benfica,Benfica B,14,0
Benfica,Besiktas,10,44000000
Benfica,Dep. La Coruña,11,6500000
Benfica,Desportivo Aves,9,0
Benfica,Gil Vicente,12,0
Benfica,Granada CF,10,4000000
Benfica,Paris SG,10,154920000
Benfica,Paços Ferreira,10,0
Benfica,SC Braga,15,4400000
Benfica,Valencia,11,116000000
Benfica,Vit. Guimarães,13,3250000
Benfica,Vitória Setúbal,10,0
Benfica B,Belenenses,9,1000000
Benfica B,Benfica,48,0
Benfica B,Desportivo Aves,10,0
Benfica B,Rio Ave,9,0
Besançon B,Racing Besançon,9,0
Besiktas,Antalyaspor,9,0
Besiktas,Bursaspor,13,1200000
Besiktas,C. Rizespor,17,575000
Besiktas,Diyarbakirspor,10,0
Besiktas,Eskisehirspor,9,2100000
Besiktas,Gaziantepspor,11,100000
Besiktas,Göztepe,11,295000
Besiktas,Kocaelispor,12,0
Besiktas,Trabzonspor,10,3570000
Bethlehem Steel,Philadelphia,40,0
Betis B,Real Betis,26,0
Betis C,Betis B,9,0
Betis Deportivo,Real Betis,23,0
Bilbao Athletic,Arenas Club,9,0
Bilbao Athletic,Athletic,71,0
Bilbao Athletic,Barakaldo CF ,24,0
Bilbao Athletic,SD Amorebieta,16,0
Bilbao Athletic,Sestao River ,16,0
Bilbao B,Athletic,22,0
Bilbao Youth,Danok Bat Yth.,12,0
Birmingham,Blackpool,11,720000
Birmingham,Walsall,10,0
Birmingham,West Brom,12,12650000
Blackburn,Birmingham,11,10875000
Blackburn,Blackpool,10,0
Blackburn,Derby,11,4835000
Blackburn,Ipswich,9,15100000
Blackburn,Leeds,11,4500000
Blackburn,Leicester,11,5150000
Blackburn,Rochdale,11,0
Blackburn,Stockport,9,0
